locality_code,locality_name,district_code,district_name,municipal_status_code,municipal_status_name
282,שבי ציון,24,עכו,4.0,מועצה אזורית מטה אשר
3571,שבי שומרון,72,שכם,72.0,מועצה אזורית שומרון
913,שבלי - אום אל-גנם,23,יזרעאל,99.0,מועצה מקומית
1286,שגב-שלום,62,באר שבע,99.0,מועצה מקומית
721,שדה אילן,22,כנרת,3.0,מועצה אזורית הגליל התחתון
304,שדה אליהו,23,יזרעאל,7.0,מועצה אזורית עמק המעיינות
861,שדה אליעזר,21,צפת,55.0,מועצה אזורית מבואות החרמון
885,שדה בוקר,62,באר שבע,48.0,מועצה אזורית רמת נגב
36,שדה דוד,61,אשקלון,50.0,מועצה אזורית לכיש
284,שדה ורבורג,42,פתח תקווה,20.0,מועצה אזורית דרום השרון
293,שדה יואב,61,אשקלון,35.0,מועצה אזורית יואב
142,שדה יעקב,23,יזרעאל,9.0,מועצה אזורית עמק יזרעאל
2008,שדה יצחק,32,חדרה,14.0,מועצה אזורית מנשה
18,שדה משה,61,אשקלון,50.0,מועצה אזורית לכיש
259,שדה נחום,23,יזרעאל,7.0,מועצה אזורית עמק המעיינות
329,שדה נחמיה,21,צפת,1.0,מועצה אזורית הגליל העליון
1058,שדה ניצן,62,באר שבע,38.0,מועצה אזורית אשכול
739,שדה עוזיהו,61,אשקלון,33.0,מועצה אזורית באר טוביה
2049,שדה צבי,62,באר שבע,42.0,מועצה אזורית מרחבים
327,שדות ים,32,חדרה,15.0,מועצה אזורית חוף הכרמל
27,שדות מיכה,11,ירושלים,26.0,מועצה אזורית מטה יהודה
1223,שדי אברהם,62,באר שבע,38.0,מועצה אזורית אשכול
2015,שדי חמד,42,פתח תקווה,20.0,מועצה אזורית דרום השרון
2057,שדי תרומות,23,יזרעאל,7.0,מועצה אזורית עמק המעיינות
555,שדמה,44,רחובות,32.0,מועצה אזורית גדרות
306,שדמות דבורה,22,כנרת,3.0,מועצה אזורית הגליל התחתון
3578,שדמות מחולה,75,ירדן-יריחו,75.0,מועצה אזורית ערבות הירדן
1031,שדרות,61,אשקלון,0.0,עירייה
741,שואבה,11,ירושלים,26.0,מועצה אזורית מטה יהודה
761,שובה,62,באר שבע,39.0,מועצה אזורית שדות נגב
394,שובל,62,באר שבע,41.0,מועצה אזורית בני שמעון
1304,שוהם,43,רמלה,99.0,מועצה מקומית
614,שומרה,24,עכו,52.0,מועצה אזורית מעלה יוסף
1265,שומרייה,62,באר שבע,41.0,מועצה אזורית בני שמעון
415,שוקדה,62,באר שבע,39.0,מועצה אזורית שדות נגב
456,שורש,11,ירושלים,26.0,מועצה אזורית מטה יהודה
1235,שורשים,24,עכו,56.0,מועצה אזורית משגב
224,שושנת העמקים,41,השרון,16.0,מועצה אזורית עמק חפר
527,שזור,24,עכו,2.0,מועצה אזורית מרום הגליל
7,שחר,61,אשקלון,50.0,מועצה אזורית לכיש
1266,שחרות,62,באר שבע,53.0,מועצה אזורית חבל אילות
865,שיבולים,62,באר שבע,39.0,מועצה אזורית שדות נגב
1378,שיזף,62,באר שבע,48.0,מועצה אזורית רמת נגב
1267,שיטים,62,באר שבע,53.0,מועצה אזורית חבל אילות
658,שייח' דנון,24,עכו,4.0,מועצה אזורית מטה אשר
3641,שילה,74,ראמאללה,73.0,מועצה אזורית מטה בנימין
1165,שילת,43,רמלה,25.0,מועצה אזורית חבל מודיעין
1160,שכניה,24,עכו,56.0,מועצה אזורית משגב
873,שלווה,61,אשקלון,34.0,מועצה אזורית שפיר
1373,שלווה במדבר,62,באר שבע,48.0,מועצה אזורית רמת נגב
439,שלוחות,23,יזרעאל,7.0,מועצה אזורית עמק המעיינות
812,שלומי,24,עכו,99.0,מועצה מקומית
1364,שלומית,62,באר שבע,38.0,מועצה אזורית אשכול
1793,שלומציון,75,ירדן-יריחו,75.0,מועצה אזורית ערבות הירדן
366,שמיר,21,צפת,1.0,מועצה אזורית הגליל העליון
3784,שמעה,77,חברון,78.0,מועצה אזורית הר חברון
432,שמרת,24,עכו,4.0,מועצה אזורית מטה אשר
1337,שמשית,23,יזרעאל,9.0,מועצה אזורית עמק יזרעאל
1287,שני,62,באר שבע,,חסר מעמד מוניציפלי
1132,שניר,21,צפת,1.0,מועצה אזורית הגליל העליון
538,שעב,24,עכו,99.0,מועצה מקומית
4009,שעל,29,גולן,71.0,מועצה אזורית גולן
856,שעלבים,43,רמלה,30.0,מועצה אזורית גזר
661,שער אפרים,41,השרון,18.0,מועצה אזורית לב השרון
264,שער הגולן,22,כנרת,6.0,מועצה אזורית עמק הירדן
237,שער העמקים,31,חיפה,12.0,מועצה אזורית זבולון
921,שער מנשה,32,חדרה,14.0,מועצה אזורית מנשה
3720,שערי תקווה,73,טול כרם,72.0,מועצה אזורית שומרון
232,שפיים,41,השרון,19.0,מועצה אזורית חוף השרון
692,שפיר,61,אשקלון,34.0,מועצה אזורית שפיר
1803,"שפלת יהודה מ""א 26",11,ירושלים,26.0,מועצה אזורית מטה יהודה
1804,"שפלת יהודה של""ש",11,ירושלים,,חסר מעמד מוניציפלי
846,שפר,21,צפת,2.0,מועצה אזורית מרום הגליל
8800,שפרעם,24,עכו,0.0,עירייה
3649,שקד,71,ג'נין,72.0,מועצה אזורית שומרון
1233,שקף,61,אשקלון,50.0,מועצה אזורית לכיש
292,שרונה,22,כנרת,3.0,מועצה אזורית הגליל התחתון
1114,שריגים (לי-און),11,ירושלים,26.0,מועצה אזורית מטה יהודה
126,שריד,23,יזרעאל,9.0,מועצה אזורית עמק יזרעאל
398,שרשרת,62,באר שבע,39.0,מועצה אזורית שדות נגב
1045,שתולה,24,עכו,52.0,מועצה אזורית מעלה יוסף
763,שתולים,61,אשקלון,33.0,מועצה אזורית באר טוביה
2062,תאשור,62,באר שבע,41.0,מועצה אזורית בני שמעון
2061,תדהר,62,באר שבע,41.0,מועצה אזורית בני שמעון
1172,תובל,24,עכו,56.0,מועצה אזורית משגב
3558,תומר,75,ירדן-יריחו,75.0,מועצה אזורית ערבות הירדן
1083,תושייה,62,באר שבע,39.0,מועצה אזורית שדות נגב
163,תימורים,61,אשקלון,33.0,מועצה אזורית באר טוביה
10,תירוש,11,ירושלים,26.0,מועצה אזורית מטה יהודה
5000,תל אביב -יפו,51,תל אביב,0.0,עירייה
1707,תל חי (מכללה),21,צפת,1.0,מועצה אזורית הגליל העליון
84,תל יוסף,23,יזרעאל,8.0,מועצה אזורית הגלבוע
287,תל יצחק,41,השרון,19.0,מועצה אזורית חוף השרון
154,תל מונד,41,השרון,99.0,מועצה מקומית
103,תל עדשים,23,יזרעאל,9.0,מועצה אזורית עמק יזרעאל
719,תל קציר,22,כנרת,6.0,מועצה אזורית עמק הירדן
1054,תל שבע,62,באר שבע,99.0,מועצה מקומית
1283,תל תאומים,23,יזרעאל,7.0,מועצה אזורית עמק המעיינות
3719,תלם,77,חברון,78.0,מועצה אזורית הר חברון
1051,תלמי אליהו,62,באר שבע,38.0,מועצה אזורית אשכול
2003,תלמי אלעזר,32,חדרה,14.0,מועצה אזורית מנשה
2050,"תלמי ביל""ו",62,באר שבע,42.0,מועצה אזורית מרחבים
1237,תלמי יוסף,62,באר שבע,38.0,מועצה אזורית אשכול
727,תלמי יחיאל,61,אשקלון,33.0,מועצה אזורית באר טוביה
744,תלמי יפה,61,אשקלון,36.0,מועצה אזורית חוף אשקלון
814,תלמים,61,אשקלון,50.0,מועצה אזורית לכיש
1244,תמרת,23,יזרעאל,9.0,מועצה אזורית עמק יזרעאל
2002,תנובות,41,השרון,18.0,מועצה אזורית לב השרון
752,תעוז,11,ירושלים,26.0,מועצה אזורית מטה יהודה
1744,תעשיון בינימין*,42,פתח תקווה,20.0,מועצה אזורית דרום השרון
1709,תעשיון דלתון,21,צפת,2.0,מועצה אזורית מרום הגליל
1741,תעשיון השרון,41,השרון,18.0,מועצה אזורית לב השרון
1750,תעשיון חבל יבנה,44,רחובות,29.0,מועצה אזורית חבל יבנה
1742,תעשיון חצב*,42,פתח תקווה,20.0,מועצה אזורית דרום השרון
1754,תעשיון מבצע*,61,אשקלון,33.0,מועצה אזורית באר טוביה
1794,תעשיון מיתרים,77,חברון,78.0,מועצה אזורית הר חברון
1749,תעשיון צריפין,43,רמלה,40.0,מועצה אזורית שדות דן
1755,תעשיון ראם*,61,אשקלון,35.0,מועצה אזורית יואב
1792,"תעשיון שח""ק",71,ג'נין,72.0,מועצה אזורית שומרון
1714,תעשיות גליל תחתון,22,כנרת,3.0,מועצה אזורית הגליל התחתון
709,תפרח,62,באר שבע,42.0,מועצה אזורית מרחבים
665,תקומה,62,באר שבע,39.0,מועצה אזורית שדות נגב
3563,תקוע,76,בית לחם,76.0,מועצה אזורית גוש עציון
970,תראבין א-צאנע (שבט),62,באר שבע,,חסר מעמד מוניציפלי
1346,תרבין א-צאנע (יישוב)*,62,באר שבע,69.0,מועצה אזורית אל קסום
778,תרום,11,ירושלים,26.0,מועצה אזורית מטה יהודה
