repr,metric,algo,k_target,k_actual,elapsed_s,error,k,pop_min,pop_max,pop_ratio,pop_cv,avg_within_std,avg_dominant_margin,min_dominant_margin,wcss,silhouette,n_disconnected
raw_party_shares,euclidean,kmeans_baseline,20,20,0.07,,20,14558.8,763987.6,52.476000769294174,1.126171068919652,0.3656845611138931,16.656885974859126,2.59239589651758,17861.587434195404,0.3096348163420092,15
raw_party_shares,cosine,simulated_annealing,3,3,18.94,,3,1136746.4,1421038.5999999999,1.2500928967094156,0.09415551198627421,1.0894083159200914,3.5852699542477104,2.5667626246986295,169926.11442015693,0.11217269920644171,0
raw_party_shares,cosine,simulated_annealing,5,5,22.72,,5,453276.19999999995,1110876.0,2.4507706338872417,0.34207108356655885,1.0909555993247912,5.9192650546405865,3.046955839802507,191007.11997323728,-0.05933782696715021,0
raw_party_shares,cosine,simulated_annealing,7,7,26.28,,7,217608.6,939893.5999999997,4.319193267177859,0.4602461473889518,1.216612346357236,7.4430410417016475,0.5033182946368022,234230.16380147164,-0.13963557332849638,0
raw_party_shares,cosine,simulated_annealing,10,10,32.35,,10,1821.8,930366.9999999998,510.68558568448776,0.757637434221825,1.146847289616791,7.139584720518769,0.24806063395623568,202132.64350605136,-0.207343011222417,0
raw_party_shares,cosine,simulated_annealing,15,15,37.44,,15,27862.399999999998,621342.5999999999,22.300397668542548,0.7067659922524301,0.9680602252885667,9.760626085046825,1.6198456296597108,171835.39632266707,-0.2894355831585363,0
raw_party_shares,cosine,simulated_annealing,20,20,41.53,,20,191.0,651913.0,3413.1570680628274,0.9614558652025182,0.8888160557231422,12.188191074602054,0.19242929707572287,131911.96502255736,-0.2990153729335981,0
raw_party_shares,cosine,agglomerative_average,3,3,0.17,,3,110200.59999999999,3419056.400000001,31.02575122095525,1.1446558573669152,0.6441468573853365,19.306647766798392,3.3895669430883224,107342.47677014064,0.5661632770058126,0
raw_party_shares,cosine,agglomerative_average,5,5,0.16,,5,1295.4,3416435.400000001,2637.359425660028,1.6865878966181844,0.6322254544940528,21.221866356637626,3.394354887926326,101701.58056724715,0.3796301467107662,0
raw_party_shares,cosine,agglomerative_average,7,7,0.16,,7,1295.4,3412704.0000000005,2634.478925428439,2.0906528496671406,0.620327794454454,16.611682131191706,1.691978568892221,97268.10347295075,0.3231999576830959,0
raw_party_shares,cosine,agglomerative_average,10,10,0.16,,10,1295.4,3402240.6000000006,2626.4015748031497,2.5741657313981956,0.6058735948145285,14.770041117109784,0.3265899410563833,91637.85713977896,0.2569845957698306,0
raw_party_shares,cosine,agglomerative_average,15,15,0.17,,15,1295.4,3091064.400000001,2386.185270958778,2.9220606343493465,0.5862630812354263,12.547026291155785,0.3265899410563833,83976.06041999237,0.13135047247822082,0
raw_party_shares,cosine,agglomerative_average,20,20,0.16,,20,1295.4,3049266.6000000006,2353.9189439555353,3.3741839084493592,0.5781469955391229,14.391950302462067,0.3265899410563833,78612.52895227635,0.005111246169243516,0
raw_party_shares,cosine,louvain,3,3,0.17,,3,378988.9999999998,2724230.7999999993,7.188152690447482,0.7779097734190825,0.8681131126151103,12.880220177457275,2.927158510412376,127122.47262150973,0.18325889018790886,0
raw_party_shares,cosine,louvain,5,5,0.21,,5,79924.99999999999,1527627.2,19.113258680012514,0.6874608278554578,0.754001875146142,13.939566868620375,4.762970890801892,116427.38629355855,0.0893972065508504,0
raw_party_shares,cosine,louvain,7,7,0.3,,7,3031.6,1527627.2,503.9013062409289,1.0244078096726676,0.7182887733179238,17.255613974776196,4.97586996150369,113720.28198068896,0.025798645372693847,0
raw_party_shares,cosine,louvain,10,9,0.5,,9,7310.200000000001,1998350.1999999997,273.3646411862876,1.4347540292341237,0.5584643980577618,19.107918549505612,2.3327875700355243,116747.10776620048,-0.006914922009209256,0
raw_party_shares,cosine,louvain,15,15,0.29,,15,5017.6,1998350.1999999997,398.2681361607142,2.020387690445352,0.46615687418145496,23.277386708555017,2.332787570035528,115888.36870228908,-0.03754635639594485,0
raw_party_shares,cosine,louvain,20,20,0.33,,20,1798.6,1998350.1999999997,1111.0587123318135,2.400685651686359,0.4341834137661536,24.660565462715685,2.332787570035528,115399.69989616323,-0.04820885766720957,0
raw_party_shares,cosine,kmeans_baseline,3,3,0.06,,3,407161.2,2191045.8000000007,5.381273559464901,0.5568522194371099,0.6945972117848318,21.463286573432878,16.33703681045937,73008.69598627834,0.4915591659148821,3
raw_party_shares,cosine,kmeans_baseline,5,5,0.05,,5,407161.2,1077226.6,2.645700523527291,0.3906760533798763,0.6321299707520652,18.996828788882915,3.9890101374319897,47954.29832602982,0.43988707590679804,5
raw_party_shares,cosine,kmeans_baseline,7,7,0.05,,7,90695.4,1068438.0000000002,11.780509265078496,0.7187329045021332,0.5614578753085586,16.85218522719443,3.045770972766121,37024.961114840975,0.3742054591440388,7
raw_party_shares,cosine,kmeans_baseline,10,10,0.05,,10,19922.399999999998,1048388.8000000002,52.62361964421959,0.9641015579467788,0.46278191322758094,17.302945188118834,0.6204325517511755,29851.196026849142,0.3335779622439258,8
raw_party_shares,cosine,kmeans_baseline,15,15,0.06,,15,4065.8,924396.8,227.35914211225344,1.0441049450831696,0.4304023766774262,15.626626117731677,0.3265899410563833,22641.450049834875,0.31457370308577165,11
raw_party_shares,cosine,kmeans_baseline,20,20,0.07,,20,14558.8,763987.6,52.476000769294174,1.126171068919652,0.3656845611138931,16.656885974859126,2.59239589651758,17861.587434195404,0.3096348163420092,15
raw_party_shares,jensen_shannon,simulated_annealing,3,3,19.03,,3,1136746.4,1421038.5999999999,1.2500928967094156,0.09415551198627421,1.0894083159200914,3.5852699542477104,2.5667626246986295,169926.11442015693,0.11217269920644171,0
raw_party_shares,jensen_shannon,simulated_annealing,5,5,22.75,,5,453276.19999999995,1110876.0,2.4507706338872417,0.34207108356655885,1.0909555993247912,5.9192650546405865,3.046955839802507,191007.11997323728,-0.05933782696715021,0
raw_party_shares,jensen_shannon,simulated_annealing,7,7,26.94,,7,217608.6,939893.5999999997,4.319193267177859,0.4602461473889518,1.216612346357236,7.4430410417016475,0.5033182946368022,234230.16380147164,-0.13963557332849638,0
raw_party_shares,jensen_shannon,simulated_annealing,10,10,32.59,,10,1821.8,930366.9999999998,510.68558568448776,0.757637434221825,1.146847289616791,7.139584720518769,0.24806063395623568,202132.64350605136,-0.207343011222417,0
raw_party_shares,jensen_shannon,simulated_annealing,15,15,37.3,,15,27862.399999999998,621342.5999999999,22.300397668542548,0.7067659922524301,0.9680602252885667,9.760626085046825,1.6198456296597108,171835.39632266707,-0.2894355831585363,0
raw_party_shares,jensen_shannon,simulated_annealing,20,20,41.4,,20,191.0,651913.0,3413.1570680628274,0.9614558652025182,0.8888160557231422,12.188191074602054,0.19242929707572287,131911.96502255736,-0.2990153729335981,0
raw_party_shares,jensen_shannon,agglomerative_average,3,3,0.47,,3,110200.59999999999,3419056.400000001,31.02575122095525,1.1446558573669152,0.6441468573853365,19.306647766798392,3.3895669430883224,107342.47677014064,0.5661632770058126,0
raw_party_shares,jensen_shannon,agglomerative_average,5,5,0.47,,5,1295.4,3416435.400000001,2637.359425660028,1.6865878966181844,0.6322254544940528,21.221866356637626,3.394354887926326,101701.58056724715,0.3796301467107662,0
raw_party_shares,jensen_shannon,agglomerative_average,7,7,0.47,,7,1295.4,3412704.0000000005,2634.478925428439,2.0906528496671406,0.620327794454454,16.611682131191706,1.691978568892221,97268.10347295075,0.3231999576830959,0
