municipality,right_avg,right_std,haredi_avg,haredi_std,center_avg,center_std,left_avg,left_std,arab_avg,arab_std,avg_votes,dominant_bloc,left_right_score,religious_score
גן יבנה,52.012404499382626,2.0120389642471253,6.427310834428492,1.1141728981296426,34.44667050223641,2.6146306715977516,5.038454604439993,1.768357330168142,0.10051729334133244,0.034280335728691234,12301.4,right,46.973949894942635,6.477569481099158
גן רוה,23.145654342825893,1.1737201601434788,0.7592229777584739,0.24769234852360186,56.595062066081255,4.802043173105541,17.527225677238985,3.534508049223528,0.2079447665402355,0.1358336656435586,3369.4,center,5.618428665586908,0.8631953610285916
גני תקווה,30.1897430515318,1.3977694636912092,9.264233210714805,0.7824176605714867,48.5725956084876,2.6101407611310923,10.123149411994977,2.6100876484598468,0.18671305357706977,0.05707148452160762,11620.0,center,20.066593639536823,9.35758973750334
דאלית אל-כרמל,16.255560165224118,11.370777320721954,0.8056556119105135,0.7099717092077037,66.04174070918937,16.237211740893514,9.927184258854442,3.3812725445303293,5.735091822921844,2.568383743736793,6856.6,center,6.328375906369676,3.6732015233714357
דבוריה,0.8462696396873165,0.5615874292790841,0.10487735092885613,0.06415925773191078,0.9888212404394647,1.0313927800241691,1.7747012700937046,1.0895030733640365,95.63124836023272,2.30791612032754,4156.0,arab,-0.9284316304063881,47.92050153104522
דימונה,70.26540762512003,2.015715511028361,12.054950413298817,1.8280939209351788,13.046615828262428,2.1765058897918848,2.3303298131336594,0.9524034081651711,0.23281004222373114,0.030294136389416713,17034.4,right,67.93507781198637,12.171355434410684
דיר אל-אסד,0.7555631701111207,0.48011297255656166,5.527153655419106,2.6119016427253445,1.7900591536544948,1.108200711689969,2.5174546604485437,2.1843982314737014,87.46157722255522,6.712491444912834,6055.0,arab,-1.761891490337423,49.257942266696716
דיר חנא,1.1871953498190495,0.5578045138255175,1.9489317708172642,0.5310900520118328,1.8099664967401439,1.485469516701404,1.5133010369149698,0.6574935172245374,93.1424338723588,2.754273273996412,5409.8,arab,-0.32610568709592025,48.520148706996665
דרום השרון,22.95950694104966,1.0712472219442044,1.4690385348888826,0.26769263034914825,55.22303108816969,4.670907588987445,17.814754291344634,3.833844218804255,0.2245110216432717,0.12346859510798387,17655.0,center,5.144752649705026,1.5812940457105185
הגלבוע,25.061971997399446,1.1868410532976594,2.3682533913152115,0.3320105621813507,33.49798602049452,3.462190228844153,14.519495106149739,3.6713451258387733,22.804329872495416,5.201328614969305,13869.4,center,10.542476891249708,13.770418327562918
הגליל העליון,12.636239687042973,0.8335398764642042,0.45811795310311726,0.0849593488425755,51.09258360672497,6.08915860600498,33.86634113456658,5.582636456039388,0.428797313155462,0.1880448061898254,10039.6,center,-21.23010144752361,0.6725166096808483
הגליל התחתון,47.62339381090108,3.933339999950933,2.6613927545405223,0.5410268217490287,34.469576635368696,2.99596858968733,10.52607312263969,2.2283577241710923,0.1257526578886828,0.054387544457986686,6218.6,right,37.09732068826139,2.7242690834848635
הוד השרון,27.264622074541798,1.203346971698023,2.5579942621074965,0.3719494082058315,54.82027363149225,3.3449619171471365,13.829443775802394,3.282193021011417,0.19605539487874987,0.07650841196287606,35121.2,center,13.435178298739404,2.6560219595468713
הערבה התיכונה,14.663963256648833,1.3389099756371692,0.37037669887054187,0.14094237117329067,61.56089986851655,5.766631385148529,19.890029725892404,5.239601536444369,0.42712594027110323,0.1366789506504436,1827.0,center,-5.226066469243571,0.5839396690060935
הרצליה,31.90828518313399,1.625990310510251,4.070003080410755,0.5057715870270189,49.75021265230305,3.119026815225362,12.628682291901681,2.9855164453471654,0.26770922457514146,0.0990015995687649,55386.4,center,19.279602891232308,4.2038576926983255
זבולון,14.864804759352847,1.0476387995266085,1.7341440962451593,1.268546508888822,44.73889604205776,3.1312927908598573,19.43870030024605,4.0874453982918695,17.929804589026045,5.1680534249191705,6126.4,center,-4.573895540893204,10.699046390758182
זכרון יעקב,26.612345345124186,1.5946008330277888,10.96140703948026,0.5987449599661466,46.72915133595167,3.0453190337197977,13.731424564315375,3.16975622843379,0.27945975788150934,0.1590842389528853,12370.4,center,12.880920780808811,11.101136918421014
זמר,0.8874917250626853,0.7627150944239433,1.2672714713579447,1.9049649747149866,1.5548655984938449,1.3836474026316088,5.070557039698119,5.55068708334031,90.41994830773668,9.09305433454721,2560.8,arab,-4.183065314635434,46.47724562522628
זרזיר,6.248081276404234,4.183408874639523,0.44437599183662685,0.28786924963012095,26.56000048684511,15.65241211178124,9.243650857149706,4.672454079580381,55.185008053012005,20.686702110639217,2337.6,arab,-2.9955695807454727,28.03688001834263
