municipality,eligible,voters,invalid,valid,אמת,ב,ג,ודעם,ז,זץ,ט,י,יז,ינ,יף,יק,יר,כ,כך,כן,ל,מחל,מרצ,נ,ני,נר,עם,פה,ףז,צי,צכ,צף,ץ,ק,קי,קך,קץ,ר,רנ,רף,רק,שס,ת,Unnamed: 46,knesset,אמת_pct,ב_pct,ג_pct,ודעם_pct,ז_pct,זץ_pct,ט_pct,י_pct,יז_pct,ינ_pct,יף_pct,יק_pct,יר_pct,כ_pct,כך_pct,כן_pct,ל_pct,מחל_pct,מרצ_pct,נ_pct,ני_pct,נר_pct,עם_pct,פה_pct,ףז_pct,צי_pct,צכ_pct,צף_pct,ץ_pct,ק_pct,קי_pct,קך_pct,קץ_pct,ר_pct,רנ_pct,רף_pct,רק_pct,שס_pct,ת_pct,Unnamed: 46_pct,turnout_pct
בית שמש,69429,42775,305,42470,307,2734,15242,13,2,6,4398,5,99,1,1,5,2,9,26,756,1078,7771,125,2,3,2,9,1001,6,2,0,1,2,1,0,4,8,194,13,7,0,7745,890,0.0,24,0.72,6.44,35.89,0.03,0.0,0.01,10.36,0.01,0.23,0.0,0.0,0.01,0.0,0.02,0.06,1.78,2.54,18.3,0.29,0.0,0.01,0.0,0.02,2.36,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.46,0.03,0.02,0.0,18.24,2.1,0.0,61.61
בני ברק,112807,83372,770,82602,210,677,50181,11,2,0,3653,5,79,2,1,4,0,4,3,283,342,3121,118,5,0,0,7,545,6,0,1,1,1,2,4,0,3,74,3,7,0,22917,330,0.0,24,0.25,0.82,60.75,0.01,0.0,0.0,4.42,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.41,3.78,0.14,0.01,0.0,0.0,0.01,0.66,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.01,0.0,27.74,0.4,0.0,73.91
"בני עי""ש",5750,3514,31,3483,58,209,37,2,0,0,191,2,24,2,0,0,1,1,3,83,803,1180,31,2,5,0,1,403,3,1,0,0,0,2,0,0,3,14,0,0,0,255,167,0.0,24,1.67,6.0,1.06,0.06,0.0,0.0,5.48,0.06,0.69,0.06,0.0,0.0,0.03,0.03,0.09,2.38,23.05,33.88,0.89,0.06,0.14,0.0,0.03,11.57,0.09,0.03,0.0,0.0,0.0,0.06,0.0,0.0,0.09,0.4,0.0,0.0,0.0,7.32,4.79,0.0,61.11
בני שמעון,7239,5403,12,5391,940,427,6,5,0,0,323,0,59,0,0,0,0,0,0,658,115,813,720,0,0,0,8,1013,1,0,0,0,0,0,0,1,0,8,1,1,0,70,222,0.0,24,17.44,7.92,0.11,0.09,0.0,0.0,5.99,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,12.21,2.13,15.08,13.36,0.0,0.0,0.0,0.15,18.79,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.15,0.02,0.02,0.0,1.3,4.12,0.0,74.64
בנימינה - גבעת עדה,10500,7670,20,7650,1243,451,11,18,1,0,113,1,65,0,0,0,1,0,1,873,217,1257,866,1,0,0,2,1987,2,0,0,0,0,0,0,2,0,29,1,1,0,119,388,0.0,24,16.25,5.9,0.14,0.24,0.01,0.0,1.48,0.01,0.85,0.0,0.0,0.0,0.01,0.0,0.01,11.41,2.84,16.43,11.32,0.01,0.0,0.0,0.03,25.97,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.38,0.01,0.01,0.0,1.56,5.07,0.0,73.05
"בסמ""ה",6890,2604,58,2546,14,1,0,1374,0,0,0,0,5,3,1,0,0,1,1,3,0,68,158,1,0,1,873,18,0,0,1,0,3,0,0,0,1,0,0,0,0,14,5,0.0,24,0.55,0.04,0.0,53.97,0.0,0.0,0.0,0.0,0.2,0.12,0.04,0.0,0.0,0.04,0.04,0.12,0.0,2.67,6.21,0.04,0.0,0.04,34.29,0.71,0.0,0.0,0.04,0.0,0.12,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.55,0.2,0.0,37.79
בסמת טבעון,5494,1792,37,1755,29,5,3,325,0,0,4,0,14,2,2,0,1,0,2,8,3,303,99,0,1,0,893,36,0,1,1,1,0,0,0,0,4,0,1,0,0,2,15,0.0,24,1.65,0.28,0.17,18.52,0.0,0.0,0.23,0.0,0.8,0.11,0.11,0.0,0.06,0.0,0.11,0.46,0.17,17.26,5.64,0.0,0.06,0.0,50.88,2.05,0.0,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.23,0.0,0.06,0.0,0.0,0.11,0.85,0.0,32.62
בענה,5795,3299,45,3254,8,1,0,1764,0,0,0,0,1,1,1,0,0,0,0,39,0,46,14,0,0,0,1320,11,1,0,0,0,0,1,1,1,1,0,0,1,0,11,31,0.0,24,0.25,0.03,0.0,54.21,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,1.2,0.0,1.41,0.43,0.0,0.0,0.0,40.57,0.34,0.03,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.34,0.95,0.0,56.93
ברנר,5605,4297,8,4289,822,182,4,7,0,1,58,0,42,0,0,0,0,0,2,733,146,454,447,0,0,0,0,1125,1,1,0,0,0,0,0,0,1,21,1,0,0,25,216,0.0,24,19.17,4.24,0.09,0.16,0.0,0.02,1.35,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.05,17.09,3.4,10.59,10.42,0.0,0.0,0.0,0.0,26.23,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.49,0.02,0.0,0.0,0.58,5.04,0.0,76.66
בת ים,123920,60202,479,59723,1836,2849,500,102,5,7,2244,19,594,0,4,1,1,5,32,2982,9081,21360,1000,14,11,2,23,8211,20,7,5,2,10,12,7,6,6,392,17,8,0,5169,3179,0.0,24,3.07,4.77,0.84,0.17,0.01,0.01,3.76,0.03,0.99,0.0,0.01,0.0,0.0,0.01,0.05,4.99,15.21,35.77,1.67,0.02,0.02,0.0,0.04,13.75,0.03,0.01,0.01,0.0,0.02,0.02,0.01,0.01,0.01,0.66,0.03,0.01,0.0,8.65,5.32,0.0,48.58
ג'דיידה-מכר,14820,6162,41,6121,21,1,3,4076,0,1,1,2,4,5,0,0,0,0,3,9,3,159,189,0,0,0,1548,55,1,2,2,3,1,2,1,4,1,2,0,0,0,15,7,0.0,24,0.34,0.02,0.05,66.59,0.0,0.02,0.02,0.03,0.07,0.08,0.0,0.0,0.0,0.0,0.05,0.15,0.05,2.6,3.09,0.0,0.0,0.0,25.29,0.9,0.02,0.03,0.03,0.05,0.02,0.03,0.02,0.07,0.02,0.03,0.0,0.0,0.0,0.25,0.11,0.0,41.58
ג'וליס,4814,2798,42,2756,27,19,0,35,0,1,1,0,19,0,0,0,0,0,1,317,795,535,91,0,1,0,5,334,0,0,1,0,1,0,0,0,0,4,1,0,0,486,82,0.0,24,0.98,0.69,0.0,1.27,0.0,0.04,0.04,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.04,11.5,28.85,19.41,3.3,0.0,0.04,0.0,0.18,12.12,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.15,0.04,0.0,0.0,17.63,2.98,0.0,58.12
ג'לג'וליה,6571,3881,41,3840,163,5,0,1114,0,0,0,0,25,3,0,0,0,0,0,0,1,20,141,0,0,1,2346,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,24,4.24,0.13,0.0,29.01,0.0,0.0,0.0,0.0,0.65,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.52,3.67,0.0,0.0,0.03,61.09,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,59.06
ג'סר א-זרקא,9184,2246,34,2212,23,1,0,1291,1,1,1,0,0,4,0,0,0,0,5,2,1,121,50,1,1,2,659,17,0,0,0,0,2,1,1,0,2,1,1,1,0,17,5,0.0,24,1.04,0.05,0.0,58.36,0.05,0.05,0.05,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.23,0.09,0.05,5.47,2.26,0.05,0.05,0.09,29.79,0.77,0.0,0.0,0.0,0.0,0.09,0.05,0.05,0.0,0.09,0.05,0.05,0.05,0.0,0.77,0.23,0.0,24.46
גוש חלב (ג'יש),2501,1131,19,1112,18,0,0,649,0,0,0,0,5,0,0,0,0,0,1,11,3,148,135,1,0,0,87,49,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0.0,24,1.62,0.0,0.0,58.36,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.09,0.99,0.27,13.31,12.14,0.09,0.0,0.0,7.82,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.27,0.0,45.22
