municipality,eligible,voters,invalid,valid,אמת,ב,ג,ודעם,ז,זץ,ט,י,יז,ינ,יף,יק,יר,כ,כך,כן,ל,מחל,מרצ,נ,ני,נר,עם,פה,ףז,צי,צכ,צף,ץ,ק,קי,קך,קץ,ר,רנ,רף,רק,שס,ת,Unnamed: 46,knesset,אמת_pct,ב_pct,ג_pct,ודעם_pct,ז_pct,זץ_pct,ט_pct,י_pct,יז_pct,ינ_pct,יף_pct,יק_pct,יר_pct,כ_pct,כך_pct,כן_pct,ל_pct,מחל_pct,מרצ_pct,נ_pct,ני_pct,נר_pct,עם_pct,פה_pct,ףז_pct,צי_pct,צכ_pct,צף_pct,ץ_pct,ק_pct,קי_pct,קך_pct,קץ_pct,ר_pct,רנ_pct,רף_pct,רק_pct,שס_pct,ת_pct,Unnamed: 46_pct,turnout_pct
מעלה עירון,10221,3212,54,3158,10,0,1,2105,1,0,1,0,0,5,0,0,0,0,0,3,1,92,109,0,0,1,770,12,0,0,1,1,0,0,0,1,2,16,1,1,0,3,21,0.0,24,0.32,0.0,0.03,66.66,0.03,0.0,0.03,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.09,0.03,2.91,3.45,0.0,0.0,0.03,24.38,0.38,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.03,0.06,0.51,0.03,0.03,0.0,0.09,0.66,0.0,31.43
מעלות-תרשיחא,18650,10864,86,10778,203,462,66,1668,2,0,642,0,55,1,0,5,3,0,1,196,1736,3041,242,0,0,2,302,852,2,4,2,0,0,0,1,4,0,72,4,2,0,661,547,0.0,24,1.88,4.29,0.61,15.48,0.02,0.0,5.96,0.0,0.51,0.01,0.0,0.05,0.03,0.0,0.01,1.82,16.11,28.21,2.25,0.0,0.0,0.02,2.8,7.9,0.02,0.04,0.02,0.0,0.0,0.0,0.01,0.04,0.0,0.67,0.04,0.02,0.0,6.13,5.08,0.0,58.25
מצפה רמון,3710,1870,10,1860,206,72,8,16,0,1,415,1,14,0,0,0,0,1,2,79,168,476,134,1,0,0,18,131,0,1,0,0,0,1,0,0,4,13,1,0,0,39,58,0.0,24,11.08,3.87,0.43,0.86,0.0,0.05,22.31,0.05,0.75,0.0,0.0,0.0,0.0,0.05,0.11,4.25,9.03,25.59,7.2,0.05,0.0,0.0,0.97,7.04,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.22,0.7,0.05,0.0,0.0,2.1,3.12,0.0,50.4
מרום הגליל,10400,6698,37,6661,344,344,176,52,0,3,774,2,47,0,0,0,0,1,4,357,238,2563,208,0,0,0,39,499,2,2,0,0,0,1,1,1,0,55,0,2,0,742,204,0.0,24,5.16,5.16,2.64,0.78,0.0,0.05,11.62,0.03,0.71,0.0,0.0,0.0,0.0,0.02,0.06,5.36,3.57,38.48,3.12,0.0,0.0,0.0,0.59,7.49,0.03,0.03,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.83,0.0,0.03,0.0,11.14,3.06,0.0,64.4
מרחבים,8882,6561,35,6526,288,499,686,1,0,0,450,1,45,0,0,0,0,0,0,411,80,2409,116,0,0,0,0,504,1,0,0,0,0,1,0,1,0,30,1,0,0,674,328,0.0,24,4.41,7.65,10.51,0.02,0.0,0.0,6.9,0.02,0.69,0.0,0.0,0.0,0.0,0.0,0.0,6.3,1.23,36.91,1.78,0.0,0.0,0.0,0.0,7.72,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.46,0.02,0.0,0.0,10.33,5.03,0.0,73.87
משגב,20914,14148,45,14103,2248,872,5,470,0,2,413,1,150,4,1,0,2,0,3,1273,321,1252,1753,0,1,0,1445,3058,4,4,0,0,2,4,2,4,2,93,6,1,0,44,663,0.0,24,15.94,6.18,0.04,3.33,0.0,0.01,2.93,0.01,1.06,0.03,0.01,0.0,0.01,0.0,0.02,9.03,2.28,8.88,12.43,0.0,0.01,0.0,10.25,21.68,0.03,0.03,0.0,0.0,0.01,0.03,0.01,0.03,0.01,0.66,0.04,0.01,0.0,0.31,4.7,0.0,67.65
משהד,5753,2854,40,2814,6,1,0,1129,0,0,1,0,6,4,0,0,1,0,0,2,0,58,19,0,0,1,1538,6,0,0,0,1,0,0,0,0,1,0,1,1,0,7,31,0.0,24,0.21,0.04,0.0,40.12,0.0,0.0,0.04,0.0,0.21,0.14,0.0,0.0,0.04,0.0,0.0,0.07,0.0,2.06,0.68,0.0,0.0,0.04,54.66,0.21,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.25,1.1,0.0,49.61
נהריה,52073,30846,176,30670,1032,2000,111,85,3,3,1028,12,271,0,1,2,1,2,8,1748,3204,12179,571,8,5,0,31,4208,7,3,2,0,2,4,1,1,3,176,13,4,0,1886,2055,0.0,24,3.36,6.52,0.36,0.28,0.01,0.01,3.35,0.04,0.88,0.0,0.0,0.01,0.0,0.01,0.03,5.7,10.45,39.71,1.86,0.03,0.02,0.0,0.1,13.72,0.02,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.57,0.04,0.01,0.0,6.15,6.7,0.0,59.24
נווה מדבר,4222,2396,18,2378,2,1,0,99,0,0,0,0,0,0,1,0,0,0,4,3,0,27,6,0,0,0,2203,3,0,1,1,0,2,2,3,2,2,1,3,0,0,8,4,0.0,24,0.08,0.04,0.0,4.16,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.17,0.13,0.0,1.14,0.25,0.0,0.0,0.0,92.64,0.13,0.0,0.04,0.04,0.0,0.08,0.08,0.13,0.08,0.08,0.04,0.13,0.0,0.0,0.34,0.17,0.0,56.75
נחל שורק,5001,4075,11,4064,15,779,880,0,0,1,1460,0,5,0,0,0,0,0,0,22,4,548,4,2,0,0,0,36,0,0,0,0,1,0,0,1,0,25,0,1,0,221,59,0.0,24,0.37,19.17,21.65,0.0,0.0,0.02,35.93,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.1,13.48,0.1,0.05,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.62,0.0,0.02,0.0,5.44,1.45,0.0,81.48
נחף,8811,4167,35,4132,4,0,0,1825,0,0,0,0,15,1,0,1,0,0,0,7,2,58,76,2,1,1,2013,14,0,0,0,0,0,1,0,0,3,0,0,2,0,65,41,0.0,24,0.1,0.0,0.0,44.17,0.0,0.0,0.0,0.0,0.36,0.02,0.0,0.02,0.0,0.0,0.0,0.17,0.05,1.4,1.84,0.05,0.02,0.02,48.72,0.34,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.07,0.0,0.0,0.05,0.0,1.57,0.99,0.0,47.29
נס ציונה,34276,25419,83,25336,2353,1374,128,24,0,0,526,3,289,0,0,3,2,4,9,3223,836,5900,1477,1,4,0,2,6622,2,1,0,0,0,1,1,2,3,93,8,1,0,712,1732,0.0,24,9.29,5.42,0.51,0.09,0.0,0.0,2.08,0.01,1.14,0.0,0.0,0.01,0.01,0.02,0.04,12.72,3.3,23.29,5.83,0.0,0.02,0.0,0.01,26.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.37,0.03,0.0,0.0,2.81,6.84,0.0,74.16
נצרת,58635,22887,282,22605,144,4,5,14632,1,2,1,1,86,19,1,0,2,4,5,41,37,885,892,3,2,4,5408,270,0,3,8,3,2,0,2,4,12,17,4,1,0,27,73,0.0,24,0.64,0.02,0.02,64.73,0.0,0.01,0.0,0.0,0.38,0.08,0.0,0.0,0.01,0.02,0.02,0.18,0.16,3.92,3.95,0.01,0.01,0.02,23.92,1.19,0.0,0.01,0.04,0.01,0.01,0.0,0.01,0.02,0.05,0.08,0.02,0.0,0.0,0.12,0.32,0.0,39.03
נשר,19769,11886,63,11823,516,582,39,27,1,0,222,5,128,0,0,1,1,0,5,800,1581,3843,309,4,1,1,4,2280,2,1,2,0,2,2,0,1,1,61,4,0,0,552,845,0.0,24,4.36,4.92,0.33,0.23,0.01,0.0,1.88,0.04,1.08,0.0,0.0,0.01,0.01,0.0,0.04,6.77,13.37,32.5,2.61,0.03,0.01,0.01,0.03,19.28,0.02,0.01,0.02,0.0,0.02,0.02,0.0,0.01,0.01,0.52,0.03,0.0,0.0,4.67,7.15,0.0,60.12
נתיבות,25025,17601,102,17499,79,758,1268,4,0,2,1501,0,35,0,0,0,0,2,2,182,725,5388,30,3,5,0,3,237,0,1,0,0,1,2,4,3,3,46,5,3,0,6922,285,0.0,24,0.45,4.33,7.25,0.02,0.0,0.01,8.58,0.0,0.2,0.0,0.0,0.0,0.0,0.01,0.01,1.04,4.14,30.79,0.17,0.02,0.03,0.0,0.02,1.35,0.0,0.01,0.0,0.0,0.01,0.01,0.02,0.02,0.02,0.26,0.03,0.02,0.0,39.56,1.63,0.0,70.33
נתניה,187010,105653,688,104965,3308,6898,2962,48,10,13,4987,19,921,2,13,10,14,16,35,6473,8628,36826,1700,20,16,9,31,14617,23,13,6,6,8,19,4,14,16,549,25,19,0,11184,5503,0.0,24,3.15,6.57,2.82,0.05,0.01,0.01,4.75,0.02,0.88,0.0,0.01,0.01,0.01,0.02,0.03,6.17,8.22,35.08,1.62,0.02,0.02,0.01,0.03,13.93,0.02,0.01,0.01,0.01,0.01,0.02,0.0,0.01,0.02,0.52,0.02,0.02,0.0,10.65,5.24,0.0,56.5
סאג'ור,3114,1458,13,1445,278,219,9,31,1,0,42,0,3,0,0,0,0,0,0,35,71,388,19,0,0,0,6,92,0,0,0,0,0,0,0,0,0,0,1,0,0,163,87,0.0,24,19.24,15.16,0.62,2.15,0.07,0.0,2.91,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,2.42,4.91,26.85,1.31,0.0,0.0,0.0,0.42,6.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,11.28,6.02,0.0,46.82
סביון,3930,2700,4,2696,215,118,9,10,0,2,35,0,12,0,0,0,1,0,0,436,121,511,280,0,0,0,0,806,1,0,0,0,1,0,0,0,0,2,1,1,0,21,113,0.0,24,7.97,4.38,0.33,0.37,0.0,0.07,1.3,0.0,0.45,0.0,0.0,0.0,0.04,0.0,0.0,16.17,4.49,18.95,10.39,0.0,0.0,0.0,0.0,29.9,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.07,0.04,0.04,0.0,0.78,4.19,0.0,68.7
סח'נין,22299,15666,136,15530,22,0,1,5491,0,0,1,0,5,6,3,0,0,1,0,4,6,89,104,1,1,1,9600,166,0,0,1,0,0,0,1,2,3,1,2,1,0,5,12,0.0,24,0.14,0.0,0.01,35.36,0.0,0.0,0.01,0.0,0.03,0.04,0.02,0.0,0.0,0.01,0.0,0.03,0.04,0.57,0.67,0.01,0.01,0.01,61.82,1.07,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.01,0.01,0.0,0.03,0.08,0.0,70.25
ע'ג'ר,1759,851,7,844,11,1,0,22,0,0,3,0,0,0,0,0,0,0,0,2,12,258,13,0,0,0,24,100,0,1,2,0,0,0,0,1,0,3,0,0,0,256,135,0.0,24,1.3,0.12,0.0,2.61,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1.42,30.57,1.54,0.0,0.0,0.0,2.84,11.85,0.0,0.12,0.24,0.0,0.0,0.0,0.0,0.12,0.0,0.36,0.0,0.0,0.0,30.33,16.0,0.0,48.38
עומר,6520,4495,5,4490,423,403,12,20,1,1,97,3,34,0,0,2,0,0,1,634,119,1085,376,0,0,0,6,969,0,0,0,0,1,0,0,0,0,14,0,1,0,19,269,0.0,24,9.42,8.98,0.27,0.45,0.02,0.02,2.16,0.07,0.76,0.0,0.0,0.04,0.0,0.0,0.02,14.12,2.65,24.16,8.37,0.0,0.0,0.0,0.13,21.58,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.31,0.0,0.02,0.0,0.42,5.99,0.0,68.94
עילבון,4224,2497,20,2477,31,1,1,1312,0,0,0,0,5,2,1,0,0,0,0,23,9,199,344,0,0,0,286,93,1,0,1,0,0,0,0,1,0,0,0,1,0,82,84,0.0,24,1.25,0.04,0.04,52.97,0.0,0.0,0.0,0.0,0.2,0.08,0.04,0.0,0.0,0.0,0.0,0.93,0.36,8.03,13.89,0.0,0.0,0.0,11.55,3.75,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,3.31,3.39,0.0,59.11
עילוט,5429,1747,33,1714,1,0,0,669,1,0,0,0,2,3,1,1,1,1,1,5,0,22,24,1,0,0,846,4,0,1,1,0,0,0,2,1,0,0,1,1,0,123,1,0.0,24,0.06,0.0,0.0,39.03,0.06,0.0,0.0,0.0,0.12,0.18,0.06,0.06,0.06,0.06,0.06,0.29,0.0,1.28,1.4,0.06,0.0,0.0,49.36,0.23,0.0,0.06,0.06,0.0,0.0,0.0,0.12,0.06,0.0,0.0,0.06,0.06,0.0,7.18,0.06,0.0,32.18
עין מאהל,9334,3755,49,3706,5,7,0,1894,1,1,1,0,1,2,0,0,0,0,1,0,36,79,38,0,0,0,1485,7,0,0,0,1,1,0,0,1,0,1,0,1,0,119,24,0.0,24,0.13,0.19,0.0,51.11,0.03,0.03,0.03,0.0,0.03,0.05,0.0,0.0,0.0,0.0,0.03,0.0,0.97,2.13,1.03,0.0,0.0,0.0,40.07,0.19,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.03,0.0,0.03,0.0,0.03,0.0,3.21,0.65,0.0,40.23
עין קיניה,165,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.06,0.0,0.0,0.0,0.0,0.0,29.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.53,0.0,10.3
עכו,42169,22220,227,21993,319,791,75,3142,3,1,839,5,105,5,0,0,2,2,4,477,2048,8415,271,4,3,0,1483,1160,4,5,2,4,3,4,3,6,3,84,4,4,0,1743,970,0.0,24,1.45,3.6,0.34,14.29,0.01,0.0,3.81,0.02,0.48,0.02,0.0,0.0,0.01,0.01,0.02,2.17,9.31,38.26,1.23,0.02,0.01,0.0,6.74,5.27,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.38,0.02,0.02,0.0,7.93,4.41,0.0,52.69
עמק הירדן,11066,7383,22,7361,1662,298,13,15,0,0,94,2,71,0,0,10,1,0,2,946,231,1254,752,0,0,1,3,1481,5,1,1,0,0,0,3,0,0,61,3,0,0,90,361,0.0,24,22.58,4.05,0.18,0.2,0.0,0.0,1.28,0.03,0.96,0.0,0.0,0.14,0.01,0.0,0.03,12.85,3.14,17.04,10.22,0.0,0.0,0.01,0.04,20.12,0.07,0.01,0.01,0.0,0.0,0.0,0.04,0.0,0.0,0.83,0.04,0.0,0.0,1.22,4.9,0.0,66.72
עמק המעיינות,10048,6960,13,6947,870,1244,17,5,0,3,469,1,56,0,0,0,1,2,0,634,108,1612,413,0,0,0,2,969,3,0,0,0,1,0,0,0,0,48,1,0,0,157,331,0.0,24,12.52,17.91,0.24,0.07,0.0,0.04,6.75,0.01,0.81,0.0,0.0,0.0,0.01,0.03,0.0,9.13,1.55,23.2,5.95,0.0,0.0,0.0,0.03,13.95,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.69,0.01,0.0,0.0,2.26,4.76,0.0,69.27
עמק חפר,29749,22102,46,22056,4011,1048,32,42,1,4,475,6,238,2,1,2,0,1,6,3362,576,2371,2878,1,1,0,9,5704,10,0,2,0,1,0,3,1,1,118,6,0,0,182,961,0.0,24,18.19,4.75,0.15,0.19,0.0,0.02,2.15,0.03,1.08,0.01,0.0,0.01,0.0,0.0,0.03,15.24,2.61,10.75,13.05,0.0,0.0,0.0,0.04,25.86,0.05,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.54,0.03,0.0,0.0,0.83,4.36,0.0,74.29
עמק יזרעאל,28809,21074,54,21020,3500,1400,65,117,0,3,400,0,205,1,0,2,0,0,3,2796,601,2313,2594,2,1,1,281,5369,0,2,0,1,3,2,1,1,1,110,7,1,0,134,1103,0.0,24,16.65,6.66,0.31,0.56,0.0,0.01,1.9,0.0,0.98,0.0,0.0,0.01,0.0,0.0,0.01,13.3,2.86,11.0,12.34,0.01,0.0,0.0,1.34,25.54,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.52,0.03,0.0,0.0,0.64,5.25,0.0,73.15
עוספייא,9324,3888,26,3862,173,12,2,704,0,1,6,0,30,2,0,3,0,1,0,223,1226,193,404,0,0,0,88,623,0,1,0,0,0,1,1,1,0,18,0,1,0,62,86,0.0,24,4.48,0.31,0.05,18.23,0.0,0.03,0.16,0.0,0.78,0.05,0.0,0.08,0.0,0.03,0.0,5.77,31.75,5.0,10.46,0.0,0.0,0.0,2.28,16.13,0.0,0.03,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.47,0.0,0.03,0.0,1.61,2.23,0.0,41.7
עפולה,43422,25751,178,25573,653,1463,1242,29,2,1,1065,6,164,3,3,2,2,3,11,1264,2445,11058,288,5,3,2,6,2390,11,3,0,1,2,4,5,4,5,129,7,3,0,1919,1370,0.0,24,2.55,5.72,4.86,0.11,0.01,0.0,4.16,0.02,0.64,0.01,0.01,0.01,0.01,0.01,0.04,4.94,9.56,43.24,1.13,0.02,0.01,0.01,0.02,9.35,0.04,0.01,0.0,0.0,0.01,0.02,0.02,0.02,0.02,0.5,0.03,0.01,0.0,7.5,5.36,0.0,59.3
עראבה,17322,9553,55,9498,4,0,0,5534,0,1,1,0,5,4,3,0,0,0,3,3,1,77,53,0,0,1,3773,22,0,1,0,2,0,0,3,2,0,1,0,0,0,0,4,0.0,24,0.04,0.0,0.0,58.26,0.0,0.01,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.03,0.03,0.01,0.81,0.56,0.0,0.0,0.01,39.72,0.23,0.0,0.01,0.0,0.02,0.0,0.0,0.03,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,55.15
ערד,21593,12286,100,12186,392,373,3198,50,3,3,390,4,74,0,1,10,1,0,3,363,2296,2005,223,3,2,1,64,1924,9,2,0,0,4,3,0,2,2,80,1,4,0,195,501,0.0,24,3.22,3.06,26.24,0.41,0.02,0.02,3.2,0.03,0.61,0.0,0.01,0.08,0.01,0.0,0.02,2.98,18.84,16.45,1.83,0.02,0.02,0.01,0.53,15.79,0.07,0.02,0.0,0.0,0.03,0.02,0.0,0.02,0.02,0.66,0.01,0.03,0.0,1.6,4.11,0.0,56.9
ערערה,13695,5352,66,5286,27,0,0,3225,1,0,0,0,14,4,0,0,0,0,1,4,0,51,236,0,1,3,1627,22,0,1,2,1,3,1,1,1,1,0,0,2,0,4,53,0.0,24,0.51,0.0,0.0,61.01,0.02,0.0,0.0,0.0,0.26,0.08,0.0,0.0,0.0,0.0,0.02,0.08,0.0,0.96,4.46,0.0,0.02,0.06,30.78,0.42,0.0,0.02,0.04,0.02,0.06,0.02,0.02,0.02,0.02,0.0,0.0,0.04,0.0,0.08,1.0,0.0,39.08
ערערה בנגב,9100,4378,25,4353,2,0,0,347,0,1,0,1,1,1,1,0,0,0,1,1,1,69,36,2,1,0,3841,18,3,0,1,2,1,0,2,3,1,1,0,3,0,6,6,0.0,24,0.05,0.0,0.0,7.97,0.0,0.02,0.0,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.02,1.59,0.83,0.05,0.02,0.0,88.24,0.41,0.07,0.0,0.02,0.05,0.02,0.0,0.05,0.07,0.02,0.02,0.0,0.07,0.0,0.14,0.14,0.0,48.11
פוריידיס,8926,2591,45,2546,20,1,0,931,0,0,2,0,32,2,2,0,0,0,0,5,0,173,227,0,0,1,1017,24,0,2,0,0,1,0,1,0,0,0,0,1,0,95,9,0.0,24,0.79,0.04,0.0,36.57,0.0,0.0,0.08,0.0,1.26,0.08,0.08,0.0,0.0,0.0,0.0,0.2,0.0,6.79,8.92,0.0,0.0,0.04,39.95,0.94,0.0,0.08,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,3.73,0.35,0.0,29.03
פסוטה,2654,1150,4,1146,17,0,0,710,0,0,0,0,6,2,0,0,0,0,1,8,8,125,234,0,0,0,3,23,0,0,0,2,0,0,0,0,0,3,0,0,0,0,4,0.0,24,1.48,0.0,0.0,61.95,0.0,0.0,0.0,0.0,0.52,0.17,0.0,0.0,0.0,0.0,0.09,0.7,0.7,10.91,20.42,0.0,0.0,0.0,0.26,2.01,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.35,0.0,43.33
פקיעין (בוקייעה),4496,2631,25,2606,63,0,0,749,0,0,0,0,3,0,0,0,0,0,0,60,1142,170,172,0,0,0,16,96,0,0,0,0,1,1,1,1,1,1,1,0,0,30,98,0.0,24,2.42,0.0,0.0,28.74,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,2.3,43.82,6.52,6.6,0.0,0.0,0.0,0.61,3.68,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,1.15,3.76,0.0,58.52
פרדס חנה - כרכור,31135,21536,74,21462,2940,1141,96,69,1,0,753,3,266,1,0,0,2,2,11,1813,873,5679,1735,1,3,2,4,3844,5,2,1,0,3,1,1,6,0,190,7,2,0,930,1075,0.0,24,13.7,5.32,0.45,0.32,0.0,0.0,3.51,0.01,1.24,0.0,0.0,0.0,0.01,0.01,0.05,8.45,4.07,26.46,8.08,0.0,0.01,0.01,0.02,17.91,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.89,0.03,0.01,0.0,4.33,5.01,0.0,69.17
פרדסיה,5355,4058,5,4053,387,283,14,2,0,0,74,0,64,1,0,0,0,0,0,524,104,864,181,0,0,0,0,1118,0,0,0,0,0,0,0,1,0,20,1,0,0,90,325,0.0,24,9.55,6.98,0.35,0.05,0.0,0.0,1.83,0.0,1.58,0.02,0.0,0.0,0.0,0.0,0.0,12.93,2.57,21.32,4.47,0.0,0.0,0.0,0.0,27.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.49,0.02,0.0,0.0,2.22,8.02,0.0,75.78
פתח תקווה,194320,128425,568,127857,5254,11311,5375,78,6,5,8914,29,1164,7,8,5,6,16,55,9097,9888,35104,2861,18,14,5,13,20979,39,11,4,7,7,16,11,18,19,547,36,16,0,9391,7523,0.0,24,4.11,8.85,4.2,0.06,0.0,0.0,6.97,0.02,0.91,0.01,0.01,0.0,0.0,0.01,0.04,7.11,7.73,27.46,2.24,0.01,0.01,0.0,0.01,16.41,0.03,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.43,0.03,0.01,0.0,7.34,5.88,0.0,66.09
צפת,23806,13334,103,13231,115,518,1943,63,0,1,2168,2,23,1,0,5,1,1,2,246,792,4141,77,2,3,1,37,371,1,0,0,1,1,4,3,4,9,124,1,4,0,2322,244,0.0,24,0.87,3.92,14.69,0.48,0.0,0.01,16.39,0.02,0.17,0.01,0.0,0.04,0.01,0.01,0.02,1.86,5.99,31.3,0.58,0.02,0.02,0.01,0.28,2.8,0.01,0.0,0.0,0.01,0.01,0.03,0.02,0.03,0.07,0.94,0.01,0.03,0.0,17.55,1.84,0.0,56.01
קדימה - צורן,15750,11709,37,11672,1153,629,33,6,1,4,273,1,105,0,0,0,0,0,1,1278,435,2288,709,0,1,0,2,3427,4,0,0,0,1,0,1,0,1,43,4,1,0,554,717,0.0,24,9.88,5.39,0.28,0.05,0.01,0.03,2.34,0.01,0.9,0.0,0.0,0.0,0.0,0.0,0.01,10.95,3.73,19.6,6.07,0.0,0.01,0.0,0.02,29.36,0.03,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.37,0.03,0.01,0.0,4.75,6.14,0.0,74.34
קלנסווה,14818,5191,68,5123,24,1,0,3498,0,1,1,0,2,5,1,1,0,0,0,4,1,79,177,1,0,0,1218,56,0,0,0,1,1,0,2,1,2,1,1,1,0,3,40,0.0,24,0.47,0.02,0.0,68.28,0.0,0.02,0.02,0.0,0.04,0.1,0.02,0.02,0.0,0.0,0.0,0.08,0.02,1.54,3.46,0.02,0.0,0.0,23.78,1.09,0.0,0.0,0.0,0.02,0.02,0.0,0.04,0.02,0.04,0.02,0.02,0.02,0.0,0.06,0.78,0.0,35.03
קצרין,6311,3437,29,3408,123,254,19,7,1,1,356,0,30,0,1,0,1,1,0,138,568,1024,56,0,0,0,1,439,1,1,0,0,0,0,1,3,0,52,0,0,0,93,237,0.0,24,3.61,7.45,0.56,0.21,0.03,0.03,10.45,0.0,0.88,0.0,0.03,0.0,0.03,0.03,0.0,4.05,16.67,30.05,1.64,0.0,0.0,0.0,0.03,12.88,0.03,0.03,0.0,0.0,0.0,0.0,0.03,0.09,0.0,1.53,0.0,0.0,0.0,2.73,6.95,0.0,54.46
קרית אונו,29593,21621,68,21553,2327,1093,59,22,2,0,494,3,304,1,1,2,1,1,9,2742,712,4266,1706,1,0,0,4,5850,6,2,0,0,0,0,0,0,3,48,4,1,0,544,1345,0.0,24,10.8,5.07,0.27,0.1,0.01,0.0,2.29,0.01,1.41,0.0,0.0,0.01,0.0,0.0,0.04,12.72,3.3,19.79,7.92,0.0,0.0,0.0,0.02,27.14,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.22,0.02,0.0,0.0,2.52,6.24,0.0,73.06
קרית אתא,47608,29412,189,29223,792,1950,556,13,2,2,1330,6,248,1,0,1,0,2,13,1714,2070,12345,278,3,2,5,5,3447,3,5,1,2,1,5,2,3,6,131,9,2,0,2471,1797,0.0,24,2.71,6.67,1.9,0.04,0.01,0.01,4.55,0.02,0.85,0.0,0.0,0.0,0.0,0.01,0.04,5.87,7.08,42.24,0.95,0.01,0.01,0.02,0.02,11.8,0.01,0.02,0.0,0.01,0.0,0.02,0.01,0.01,0.02,0.45,0.03,0.01,0.0,8.46,6.15,0.0,61.78
קרית ביאליק,35443,21607,116,21491,993,1364,175,10,3,0,325,7,197,1,1,2,2,2,15,1855,1942,6964,508,4,4,0,4,4615,7,3,1,2,1,5,1,1,5,98,8,5,0,683,1678,0.0,24,4.62,6.35,0.81,0.05,0.01,0.0,1.51,0.03,0.92,0.0,0.0,0.01,0.01,0.01,0.07,8.63,9.04,32.4,2.36,0.02,0.02,0.0,0.02,21.47,0.03,0.01,0.0,0.01,0.0,0.02,0.0,0.0,0.02,0.46,0.04,0.02,0.0,3.18,7.81,0.0,60.96
קרית גת,43396,27158,200,26958,447,1319,1979,6,3,0,1686,10,139,1,1,1,3,3,35,1205,2811,10192,141,1,10,1,6,1866,7,1,1,1,1,5,5,9,7,104,9,7,0,3537,1398,0.0,24,1.66,4.89,7.34,0.02,0.01,0.0,6.25,0.04,0.52,0.0,0.0,0.0,0.01,0.01,0.13,4.47,10.43,37.81,0.52,0.0,0.04,0.0,0.02,6.92,0.03,0.0,0.0,0.0,0.0,0.02,0.02,0.03,0.03,0.39,0.03,0.03,0.0,13.12,5.19,0.0,62.58
